Site, SiteNumber, Seconds, DateTime, Latitude, Longitude, Hsig, Hmax, Tp, Tz, SST, Direction, Current Speed, Current Direction
Brisbane Mk4,4183,1760450400,2025-10-15 00:00:00,-27.49239,153.6346,1.9,3.11,10.53,7.22,22.99,159.61,0.5,166.33
Brisbane Mk4,4183,1760452200,2025-10-15 00:30:00,-27.49239,153.6346,1.97,2.8,11.11,7.09,23.04,157.06,0.54,163.34
Brisbane Mk4,4183,1760454000,2025-10-15 01:00:00,-27.49235,153.63465,1.8,3.05,10.0,6.71,22.99,149.67,0.7,162.11
Brisbane Mk4,4183,1760455800,2025-10-15 01:30:00,-27.4923,153.63471,1.83,3.1,11.11,6.91,22.99,159.7,0.41,161.23
Brisbane Mk4,4183,1760457600,2025-10-15 02:00:00,-27.49228,153.63473,1.81,2.8,11.11,6.74,22.99,157.76,0.39,153.32
Brisbane Mk4,4183,1760459400,2025-10-15 02:30:00,-27.49227,153.63477,1.66,2.49,11.76,6.44,22.99,156.44,0.68,151.38
Brisbane Mk4,4183,1760461200,2025-10-15 03:00:00,-27.49227,153.63475,1.76,2.69,11.11,6.63,22.99,162.95,0.67,152.7
Brisbane Mk4,4183,1760463000,2025-10-15 03:30:00,-27.49225,153.63477,1.76,3.47,10.0,6.87,22.95,157.67,0.68,151.56
Brisbane Mk4,4183,1760464800,2025-10-15 04:00:00,-27.49222,153.63471,1.55,2.43,10.0,6.38,22.9,157.5,0.45,156.22
Brisbane Mk4,4183,1760466600,2025-10-15 04:30:00,-27.49218,153.63471,1.52,3.57,11.11,6.43,22.9,162.6,0.52,152.35
Brisbane Mk4,4183,1760468400,2025-10-15 05:00:00,-27.49218,153.63471,1.6,2.74,11.11,6.51,22.86,166.82,0.53,156.4
Brisbane Mk4,4183,1760470200,2025-10-15 05:30:00,-27.49217,153.63471,1.6,2.67,9.52,6.58,22.86,148.0,0.43,155.34
Brisbane Mk4,4183,1760472000,2025-10-15 06:00:00,-27.49217,153.63471,1.54,2.62,11.11,6.43,22.81,169.01,0.48,154.02
Brisbane Mk4,4183,1760473800,2025-10-15 06:30:00,-27.49215,153.63473,1.54,2.28,10.0,6.42,22.77,153.54,0.55,155.08
Brisbane Mk4,4183,1760475600,2025-10-15 07:00:00,-27.49217,153.63467,1.59,2.62,10.53,6.72,22.77,160.05,0.64,158.33
Brisbane Mk4,4183,1760477400,2025-10-15 07:30:00,-27.49215,153.63471,1.54,2.84,10.53,6.39,22.77,166.64,0.73,158.95
