Site, SiteNumber, Seconds, DateTime, Latitude, Longitude, Hsig, Hmax, Tp, Tz, SST, Direction, Current Speed, Current Direction
Palm Beach Mk4,4221,1760450400,2025-10-15 00:00:00,-28.10025,153.4862,1.03,1.57,11.11,5.12,20.85,105.86,0.11,90.9
Palm Beach Mk4,4221,1760452200,2025-10-15 00:30:00,-28.10023,153.4862,1.01,2.06,11.11,5.14,20.9,107.7,0.12,93.89
Palm Beach Mk4,4221,1760454000,2025-10-15 01:00:00,-28.10025,153.48616,1.03,1.51,10.53,5.19,20.9,109.37,0.09,89.49
Palm Beach Mk4,4221,1760455800,2025-10-15 01:30:00,-28.10023,153.48616,1.06,1.51,11.11,5.44,20.85,111.22,0.08,96.62
Palm Beach Mk4,4221,1760457600,2025-10-15 02:00:00,-28.10023,153.4862,1.06,1.81,10.53,5.73,20.77,108.23,0.09,81.58
Palm Beach Mk4,4221,1760459400,2025-10-15 02:30:00,-28.10022,153.4862,1.0,1.85,9.09,5.46,20.72,101.11,0.09,82.55
Palm Beach Mk4,4221,1760461200,2025-10-15 03:00:00,-28.10022,153.48618,1.03,1.95,11.11,5.54,20.72,103.04,0.11,112.26
Palm Beach Mk4,4221,1760463000,2025-10-15 03:30:00,-28.10022,153.4862,1.07,1.58,10.0,5.58,20.68,107.61,0.07,82.46
Palm Beach Mk4,4221,1760464800,2025-10-15 04:00:00,-28.10023,153.48616,1.15,1.9,10.53,6.0,20.68,108.05,0.05,82.37
Palm Beach Mk4,4221,1760466600,2025-10-15 04:30:00,-28.10023,153.48616,1.06,1.64,10.0,5.65,20.64,104.8,0.09,93.54
Palm Beach Mk4,4221,1760468400,2025-10-15 05:00:00,-28.10023,153.48618,0.99,1.56,10.0,5.45,20.64,107.61,0.05,59.43
Palm Beach Mk4,4221,1760470200,2025-10-15 05:30:00,-28.10022,153.48618,0.97,1.67,8.7,5.5,20.68,92.23,0.05,32.44
Palm Beach Mk4,4221,1760472000,2025-10-15 06:00:00,-28.10022,153.4862,1.0,1.8,10.0,5.68,20.72,104.54,0.02,175.38
Palm Beach Mk4,4221,1760473800,2025-10-15 06:30:00,-28.10025,153.4862,0.99,1.49,9.52,5.51,20.77,102.6,0.01,336.79
Palm Beach Mk4,4221,1760475600,2025-10-15 07:00:00,-28.10023,153.48618,0.97,1.67,11.11,5.45,20.77,105.06,0.03,96.09
Palm Beach Mk4,4221,1760477400,2025-10-15 07:30:00,-28.10025,153.48616,0.98,1.84,8.7,5.47,20.81,87.92,0.04,224.88
Palm Beach Mk4,4221,1760479200,2025-10-15 08:00:00,-28.10025,153.48616,0.99,1.69,10.53,5.63,20.85,108.84,0.03,190.42
Palm Beach Mk4,4221,1760481000,2025-10-15 08:30:00,-28.10025,153.48614,0.95,1.59,8.7,5.53,21.12,85.2,0.04,143.47
Palm Beach Mk4,4221,1760482800,2025-10-15 09:00:00,-28.10027,153.48612,0.95,1.43,9.09,5.46,21.3,96.8,0.03,169.32
Palm Beach Mk4,4221,1760484600,2025-10-15 09:30:00,-28.10027,153.48607,0.89,1.55,10.0,5.2,21.61,99.53,0.04,196.84
Palm Beach Mk4,4221,1760486400,2025-10-15 10:00:00,-28.10028,153.48607,0.98,1.76,11.76,5.19,21.25,107.79,0.07,181.8
Palm Beach Mk4,4221,1760488200,2025-10-15 10:30:00,-28.10028,153.48601,0.94,1.53,10.53,4.85,21.25,108.58,0.07,200.7
Palm Beach Mk4,4221,1760490000,2025-10-15 11:00:00,-28.1003,153.48601,0.89,1.73,10.0,4.4,21.3,104.89,0.18,194.46
Palm Beach Mk4,4221,1760491800,2025-10-15 11:30:00,-28.10031,153.48599,0.88,1.51,9.09,4.24,21.43,90.12,0.12,202.73
Palm Beach Mk4,4221,1760493600,2025-10-15 12:00:00,-28.10034,153.48594,0.91,1.63,10.53,4.14,21.21,114.82,0.14,192.0
